ID,HUMERUS.L,FEMUR.L,TOTAL.MASS
5,93.3,304.3,3115.10
10,60.0,266.3,2200.60
11,131.4,344.4,3756.40
13,64.0,231.7,2117.90
15,163.0,527.5,5271.90
17,105.7,296.0,2751.00
19,79.2,226.1,2877.50
21,73.0,214.6,1926.00
27,145.8,400.9,3822.60
28,104.4,310.4,3071.30
31,57.7,194.4,1849.70
35,125.1,355.4,3218.50
38,83.7,279.8,2972.60
43,121.8,339.9,3328.90
44,123.9,324.0,3564.60
51,93.4,277.1,2283.70
60,59.4,195.3,1686.80
62,125.8,330.8,3187.60
63,154.1,489.4,4153.50
71,145.3,353.0,3877.40
73,79.6,270.8,2870.60
75,84.1,250.3,2587.10
76,119.3,278.0,3027.70
78,106.2,272.6,2663.80
79,97.1,328.0,3008.50
80,50.3,214.9,2186.90
82,43.7,158.8,1366.90
83,189.1,503.4,5222.80
86,92.7,297.3,2729.50
87,56.8,172.9,1769.20
89,73.5,207.0,2464.40
91,71.0,212.4,2489.10
93,47.5,179.1,1932.40
97,48.4,113.4,1760.00
99,105.5,358.0,3064.40
100,108.1,366.5,3406.40
116,77.3,231.1,2543.60
125,151.4,475.9,4569.10
128,105.7,354.1,3305.50
129,103.2,310.1,3350.90
132,69.8,183.9,2455.80
135,130.5,464.4,4059.40
136,76.5,310.3,2598.00
143,136.6,377.9,3562.40
144,125.7,313.4,3494.40
146,74.8,205.0,2521.90
147,53.8,180.9,1857.80
150,86.5,279.1,2616.20
155,88.5,273.3,2417.80
160,98.0,319.1,3369.00
161,87.0,363.3,3378.60
162,59.9,183.2,2032.50
166,58.2,173.3,2032.40
178,68.3,249.8,2607.20
179,97.7,323.4,3358.00
180,89.6,262.8,2438.50
183,93.4,304.1,2764.40
