"","CLV.L","CLV.R","MC1.L","MC1.R","MC2.L","MC2.R","MC3.L","MC3.R","MC4.L","MC4.R","MC5.L","MC5.R","PTL.L","PTL.R","CLCN.L","CLCN.R","TLS.L","TLS.R","CBD.L","CBD.R","NVC.L","NVC.R","CNF1.L","CNF1.R","CNF2.L","CNF2.R","CNF3.L","CNF3.R","MT1.L","MT1.R","MT2.L","MT2.R","MT3.L","MT3.R","MT4.L","MT4.R","MT5.L","MT5.R","HMR.L","FMR.L","TOTAL.MASS"
"CLV.L",NA,0.975,0.865,0.814,0.872,0.798,0.849,0.862,0.625,0.716,0.742,0.761,0.778,0.794,0.772,0.749,0.786,0.782,0.768,0.784,0.702,0.76,0.778,0.773,0.671,0.601,0.734,0.796,0.79,0.802,0.697,0.744,0.691,0.736,0.756,0.764,0.781,0.779,0.926,0.838,0.908
"CLV.R",0,NA,0.866,0.787,0.86,0.761,0.805,0.817,0.692,0.757,0.727,0.737,0.774,0.736,0.743,0.729,0.784,0.758,0.76,0.772,0.7,0.701,0.761,0.747,0.657,0.568,0.742,0.793,0.778,0.756,0.665,0.742,0.668,0.68,0.701,0.723,0.725,0.753,0.891,0.805,0.883
"MC1.L",0,0,NA,0.928,0.954,0.95,0.88,0.902,0.764,0.839,0.882,0.85,0.79,0.837,0.798,0.822,0.86,0.863,0.819,0.853,0.801,0.824,0.803,0.817,0.775,0.605,0.8,0.871,0.827,0.829,0.729,0.783,0.725,0.806,0.754,0.783,0.789,0.765,0.9,0.873,0.893
"MC1.R",0,0,0,NA,0.871,0.907,0.858,0.886,0.773,0.826,0.89,0.852,0.788,0.816,0.77,0.77,0.806,0.797,0.78,0.816,0.758,0.755,0.757,0.743,0.737,0.519,0.737,0.792,0.795,0.8,0.677,0.699,0.711,0.797,0.772,0.808,0.74,0.705,0.861,0.829,0.838
"MC2.L",0,0,0,0,NA,0.935,0.888,0.912,0.722,0.864,0.879,0.863,0.847,0.872,0.888,0.887,0.91,0.878,0.883,0.901,0.851,0.847,0.862,0.87,0.801,0.639,0.857,0.892,0.877,0.904,0.851,0.845,0.839,0.842,0.854,0.831,0.868,0.865,0.909,0.899,0.913
"MC2.R",0,0,0,0,0,NA,0.885,0.897,0.737,0.762,0.849,0.779,0.801,0.806,0.771,0.776,0.806,0.818,0.789,0.801,0.788,0.798,0.768,0.756,0.705,0.617,0.755,0.761,0.807,0.784,0.67,0.687,0.676,0.732,0.762,0.702,0.746,0.659,0.859,0.834,0.836
"MC3.L",0,0,0,0,0,0,NA,0.955,0.8,0.84,0.886,0.814,0.789,0.828,0.807,0.8,0.852,0.832,0.799,0.807,0.787,0.807,0.8,0.82,0.733,0.607,0.724,0.802,0.847,0.822,0.711,0.732,0.692,0.732,0.762,0.752,0.752,0.677,0.878,0.853,0.842
"MC3.R",0,0,0,0,0,0,0,NA,0.823,0.88,0.865,0.889,0.821,0.861,0.828,0.816,0.83,0.848,0.787,0.828,0.747,0.802,0.795,0.815,0.655,0.609,0.695,0.791,0.869,0.851,0.694,0.746,0.703,0.783,0.813,0.775,0.795,0.745,0.89,0.877,0.875
"MC4.L",0,0,0,0,0,0,0,0,NA,0.883,0.831,0.763,0.617,0.712,0.654,0.661,0.678,0.684,0.688,0.73,0.642,0.651,0.653,0.614,0.629,0.512,0.621,0.682,0.662,0.617,0.585,0.631,0.615,0.565,0.694,0.652,0.527,0.527,0.698,0.702,0.679
"MC4.R",0,0,0,0,0,0,0,0,0,NA,0.832,0.896,0.799,0.806,0.802,0.764,0.777,0.775,0.759,0.797,0.719,0.702,0.769,0.728,0.643,0.425,0.664,0.728,0.798,0.763,0.711,0.745,0.716,0.717,0.822,0.803,0.738,0.716,0.771,0.787,0.792
"MC5.L",0,0,0,0,0,0,0,0,0,0,NA,0.865,0.756,0.807,0.77,0.772,0.783,0.782,0.814,0.836,0.746,0.76,0.733,0.72,0.707,0.584,0.715,0.766,0.8,0.768,0.673,0.698,0.672,0.703,0.763,0.736,0.721,0.661,0.833,0.766,0.801
"MC5.R",0,0,0,0,0,0,0,0,0,0,0,NA,0.772,0.799,0.771,0.771,0.734,0.733,0.694,0.755,0.698,0.688,0.718,0.712,0.593,0.298,0.646,0.698,0.788,0.774,0.649,0.667,0.677,0.751,0.772,0.782,0.754,0.774,0.781,0.749,0.781
"PTL.L",0,0,0,0,0,0,0,0,0,0,0,0,NA,0.951,0.899,0.88,0.869,0.855,0.841,0.851,0.802,0.846,0.809,0.853,0.655,0.593,0.817,0.815,0.809,0.843,0.767,0.839,0.742,0.766,0.814,0.811,0.803,0.799,0.798,0.902,0.873
"PTL.R",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.862,0.876,0.873,0.898,0.824,0.855,0.831,0.863,0.826,0.849,0.685,0.783,0.812,0.836,0.8,0.84,0.787,0.807,0.722,0.777,0.78,0.838,0.789,0.845,0.811,0.907,0.815
"CLCN.L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.975,0.96,0.925,0.929,0.933,0.913,0.897,0.875,0.926,0.817,0.759,0.883,0.861,0.866,0.934,0.872,0.907,0.874,0.872,0.863,0.799,0.897,0.844,0.82,0.876,0.881
"CLCN.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.945,0.949,0.916,0.936,0.917,0.909,0.862,0.923,0.811,0.74,0.877,0.867,0.854,0.935,0.828,0.883,0.847,0.854,0.834,0.778,0.879,0.829,0.806,0.867,0.87
"TLS.L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.963,0.949,0.95,0.939,0.931,0.92,0.946,0.872,0.802,0.929,0.913,0.886,0.928,0.88,0.913,0.856,0.887,0.855,0.832,0.86,0.814,0.842,0.883,0.883
"TLS.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.917,0.937,0.921,0.942,0.893,0.927,0.838,0.793,0.894,0.908,0.855,0.915,0.826,0.88,0.797,0.847,0.824,0.815,0.832,0.771,0.842,0.886,0.877
