"","Intercept","X"
"HMR.L",684.675,23.09
"CLV.L",494.576,148.48
"CLV.R",654.098,138.938
"MC1.L",794.155,806.959
"MC1.R",969.264,724.627
"MC2.L",775.494,506.224
"MC2.R",845.056,493.505
"MC3.L",803.442,553.22
"MC3.R",652.539,561.11
"MC4.L",1098.979,812.583
"MC4.R",1023.933,788.089
"MC5.L",1047.284,973.989
"MC5.R",1087.873,923.897
"FMR.L",406.652,8.577
"PTL.L",759.462,233.389
"PTL.R",917.936,211.817
"CLCN.L",1133.193,76.802
"CLCN.R",1228.794,71.269
"TLS.L",871.382,134.109
"TLS.R",862.272,131.811
"CBD.L",1005.395,445.746
"CBD.R",940.963,461.524
"NVC.L",1233.235,369.652
"NVC.R",1080.91,402.445
"CNF1.L",962.247,530.002
"CNF1.R",1060.064,500.895
"CNF2.L",1207.161,1090.729
"CNF2.R",1479.411,867.963
"CNF3.L",1212.037,822.907
"CNF3.R",1037.715,881.345
"MT1.L",892.175,299.168
"MT1.R",963.266,283.768
"MT2.L",1205.857,434.588
"MT2.R",1066.276,461.392
"MT3.L",924.793,557.408
"MT3.R",894.369,571.026
"MT4.L",818.794,621.027
"MT4.R",839.228,591.057
"MT5.L",1134.667,464.344
"MT5.R",1380.536,409.376
